entity,value,synonyms
GC,Ebener Christophe,Christophe Ebener
GC,Eckert Pierre,Pierre Eckert
GC,Fischer Fabienne,Fabienne Fischer
GC,Freymond Pascal,Pascal Freymond
GC,Geoffroy Elias,Elias Geoffroy
GC,Gomez Alfonso,Alfonso Gomez
GC,Haas François,François Haas
GC,Hartmann Esther,Esther Hartmann
GC,Heberlein Simonett Claudia,Claudia Heberlein Simonett
GC,Herren Yves,Yves Herren
GC,Khamis Vannini Uzma,Uzma Khamis Vannini
GC,Klopfenstein Broggini Delphine,Delphine Klopfenstein Broggini
GC,Kündig Ralph,Ralph Kundig
GC,Latour Sabine,Sabine Latour
GC,Emery-Torracinta Anne,Anne Emery-Torracinta
GC,Apothéloz Thierry,Thierry Apotheloz
GC,Salerno Sandrine,Sandrine Salerno
GC,De Sainte-Marie Romain,Romain De Sainte-Marie
GC,Kast Carole-Anne,Carole-Anne Kast
GC,Wenger Thomas,Thomas Wenger
GC,Marti Caroline,Caroline Marti
GC,Bandler Marko,Marko Bandler
GC,Moyard Mizrahi Salima,Salima Moyard Mizrahi
GC,Dandrès Christian,Christian Dandres
GC,Verissimo De Freitas Helena,Helena Verissimo De Freitas
GC,Carasso Grégoire,Gregoire Carasso
GC,Sobanek Marion,Marion Sobanek
GC,Thévoz Sylvain,Sylvain Thevoz
GC,Conti Jennifer,Jennifer Conti
GC,Staub Martin,Martin Staub
GC,Valiquer Grecuccio Nicole,Nicole Valiquer Grecuccio
GC,Rielle Jean Charles,Jean Charles Rielle
GC,Gavilanes Amanda,Amanda Gavilanes
GC,Mizrahi Cyril,Cyril Mizrahi
GC,Casares Maria Jesus,Maria Jesus Casares
GC,Pomatto Michel,Michel Pomatto
GC,Strasser Léna,Lena Strasser
GC,Kokot Guilhem,Guilhem Kokot
GC,Romano Maria,Maria Romano:Maria Vittoria Romano
GC,Mussa Ahmed,Ahmed Mussa:Youniss Mussa
GC,Osmani Xhevrie,Xhevrie Osmani
GC,Esteban Diego,Diego Esteban
GC,Baillon Glenna,Glenna Baillon
GC,Eya Nchama Cruz Melchor,Cruz Melchor Eya Nchama
GC,Brandrup Gladys,Gladys Brandrup:Gladys Acosta Brandrup
GC,Chiaradonna Denis,Denis Chiaradonna
GC,Lüthi Badia,Badia Luthi
GC,Clemence Nicolas,Nicolas Clemence
GC,Vatre Patricia,Patricia Vatre
GC,Zimmermann Michel,Michel Zimmermann
GC,Viret Dora,Dora Viret:Cecilia Viret
GC,Velasco Alberto,Alberto Velasco
