entity,value,synonyms
Candidate,Corpataux Laurence,Laurence Corpataux
Candidate,Dalphin Marc,Marc Dalphin
Candidate,De Felice Nicolas,Nicolas De Felice
Candidate,De Maio Sara,Sara De Maio
Candidate,De Matteis Yves,Yves De Matteis
Candidate,De Rougemont Philippe,Philippe De Rougemont
Candidate,Desbiolles Sophie,Sophie Desbiolles
Candidate,Descombes Isabelle,Isabelle Descombes
Candidate,Dujoux Valentin,Valentin Dujoux
Candidate,Dupuis Renaud,Renaud Dupuis
Candidate,Ebener Christophe,Christophe Ebener
Candidate,Eckert Pierre,Pierre Eckert
Candidate,Fischer Fabienne,Fabienne Fischer
Candidate,Freymond Pascal,Pascal Freymond
Candidate,Geoffroy Elias,Elias Geoffroy
Candidate,Gomez Alfonso,Alfonso Gomez
Candidate,Haas François,François Haas
Candidate,Hartmann Esther,Esther Hartmann
Candidate,Heberlein Simonett Claudia,Claudia Heberlein Simonett
Candidate,Herren Yves,Yves Herren
Candidate,Khamis Vannini Uzma,Uzma Khamis Vannini
Candidate,Klopfenstein Broggini Delphine,Delphine Klopfenstein Broggini
Candidate,Kündig Ralph,Ralph Kundig
Candidate,Latour Sabine,Sabine Latour
Candidate,Emery-Torracinta Anne,Anne Emery-Torracinta
Candidate,Apothéloz Thierry,Thierry Apotheloz
Candidate,Salerno Sandrine,Sandrine Salerno
Candidate,De Sainte-Marie Romain,Romain De Sainte-Marie
Candidate,Kast Carole-Anne,Carole-Anne Kast
Candidate,Wenger Thomas,Thomas Wenger
Candidate,Marti Caroline,Caroline Marti
Candidate,Bandler Marko,Marko Bandler
Candidate,Moyard Mizrahi Salima,Salima Moyard Mizrahi
Candidate,Dandrès Christian,Christian Dandres
Candidate,Verissimo De Freitas Helena,Helena Verissimo De Freitas
Candidate,Carasso Grégoire,Gregoire Carasso
Candidate,Sobanek Marion,Marion Sobanek
Candidate,Thévoz Sylvain,Sylvain Thevoz
Candidate,Conti Jennifer,Jennifer Conti
Candidate,Staub Martin,Martin Staub
Candidate,Valiquer Grecuccio Nicole,Nicole Valiquer Grecuccio
Candidate,Rielle Jean Charles,Jean Charles Rielle
Candidate,Gavilanes Amanda,Amanda Gavilanes
Candidate,Mizrahi Cyril,Cyril Mizrahi
Candidate,Casares Maria Jesus,Maria Jesus Casares
Candidate,Pomatto Michel,Michel Pomatto
Candidate,Strasser Léna,Lena Strasser
Candidate,Kokot Guilhem,Guilhem Kokot
Candidate,Romano Maria,Maria Romano:Maria Vittoria Romano
Candidate,Mussa Ahmed,Ahmed Mussa:Youniss Mussa
Candidate,Osmani Xhevrie,Xhevrie Osmani
Candidate,Esteban Diego,Diego Esteban
Candidate,Baillon Glenna,Glenna Baillon
