entity;value;synonyms
Depute_e;QUIJANO GARCIA Maria;Maria:QUIJANO:GARCIA:Maria:José
Depute_e;RODRIGUEZ Mario;Mario:RODRIGUEZ:RODRIGUES
Depute_e;ROGG Catharina;Catharina:ROGG:Olowine:ROG
Depute_e;ROSSIAUD Jean;Jean:ROSSIAUD:ROSSIAUT
Depute_e;SAA BAUD Yubitza;Yubitza:SAA:BAUD:Youbitza:BEAUD
Depute_e;SCHALK Antoine;Antoine:SCHALK
Depute_e;SCHAUFELBERGER Esther;Esther:SCHAUFELBERGER
Depute_e;SORDET Adrienne;Adrienne:SORDET
Depute_e;TALEGHANI Majid;Majid:TALEGHANI:TALEGANI:TALEGANNI
Depute_e;TCHAMKERTEN Jolanka;Jolanka:TCHAMKERTEN
Depute_e;TIGUEMOUNINE Sabine;Sabine:TIGUEMOUNINE
Depute_e;TINGUELY Dominique;Dominique:TINGUELY
Depute_e;TSCHUDI Paloma;Paloma:TSCHUDI:TCHUDI
Depute_e;VAN WOERDEN Wendy;Wendy:VAN:WOERDEN
Depute_e;VEIGA ARIAS Damian;Damian:VEIGA:ARIAS:VEIGA:LÖFFEL
Depute_e;WISARD PRADO Leyma;Leyma:WISARD:PRADO:WIZARD:WISART
Depute_e;YUNUS EBENER Mariam;Mariam:YUNUS:EBENER:Maryam
Depute_e;AMATO Maurice;Maurice:AMATO:AMSELEM:OSSIPOV
Depute_e;AMSELLEM Benedicte;Benedicte:AMSELLEM:AMSELLEM:OSSIPOW:AMSELEM:OSSIPOV
Depute_e;ARDIZZONE Ivan;Ivan:ARDIZZONE
Depute_e;AZZABI Omar;Omar:AZZABI:AZABBI
Depute_e;BÄNZIGER Ruth;Ruth:BÄNZIGER
Depute_e;BARCIELA VILLAR Ana;Ana:BARCIELA:VILLAR
Depute_e;BAVAREL Christian;Christian:BAVAREL
Depute_e;BOCCARD Damien;Damien:BOCCARD:Damien:Baptiste:BOCARD
Depute_e;BONNY Didier;Didier:BONNY
Depute_e;BONVIN BONFANTI Anne;Anne:BONVIN:BONFANTI
Depute_e;BUCHER Denis;Denis:BUCHER
Depute_e;BUENZOD Christian;Christian:BUENZOD
Depute_e;BUI Aurore;Aurore:BUI:BUY
Depute_e;CABITZA Marina;Marina:CABITZA
Depute_e;CALAME Boris;Boris:CALAME
Depute_e;CALAME Fabrice;Fabrice:CALAME
Depute_e;CHAUDIEU Anne;Anne:CHAUDIEU
Depute_e;CONCHA Celtia;Celtia:CONCHA
