entity,value,synonyms
Depute-e,WISARD PRADO Leyma,WISARD:PRADO:Leyma
Depute-e,YUNUS EBENER Mariam,YUNUS:EBENER:Mariam:Maryam
Depute-e,AMATO Maurice,AMATO:Maurice
Depute-e,AMSELLEM Benedicte,AMSELLEM:Benedicte:AMSELLEM-OSSIPOW
Depute-e,ARDIZZONE Ivan,ARDIZZONE:Ivan
Depute-e,AZZABI Omar,AZZABI:Omar
Depute-e,BÄNZIGER Ruth,BÄNZIGER:Ruth
Depute-e,BARCIELA VILLAR Ana,BARCIELA:VILLAR:Ana
Depute-e,BAVAREL Christian,BAVAREL:Christian
Depute-e,BOCCARD Damien,BOCCARD:Damien:Damien:Baptiste
Depute-e,BONNY Didier,BONNY:Didier
Depute-e,BONVIN BONFANTI Anne,BONVIN:BONFANTI:Anne
Depute-e,BUCHER Denis,BUCHER:Denis
Depute-e,BUENZOD Christian,BUENZOD:Christian
Depute-e,BUI Aurore,BUI:Aurore
Depute-e,CABITZA Marina,CABITZA:Marina
Depute-e,CALAME Boris,CALAME:Boris
Depute-e,CALAME Fabrice,CALAME:Fabrice
Depute-e,CHAUDIEU Anne,CHAUDIEU:Anne
Depute-e,CONCHA Celtia,CONCHA:Celtia
Depute-e,CORPATAUX Laurence,CORPATAUX:Laurence
Depute-e,DALPHIN Marc,DALPHIN:Marc
Depute-e,DE FELICE Nicolas,DE:FELICE:Nicolas
Depute-e,DE MAIO Sara,DE:MAIO:Sara
Depute-e,DE MATTEIS Yves,DE:MATTEIS:Yves
Depute-e,DE ROUGEMONT Philippe,DE:ROUGEMONT:Philippe
Depute-e,DESBIOLLES Sophie,DESBIOLLES:Sophie
Depute-e,DESCOMBES Isabelle,DESCOMBES:Isabelle
Depute-e,DUJOUX Valentin,DUJOUX:Valentin
Depute-e,DUPUIS Renaud,DUPUIS:Renaud
Depute-e,EBENER Christophe,EBENER:Christophe
Depute-e,ECKERT Pierre,ECKERT:Pierre
Depute-e,FISCHER Fabienne,FISCHER:Fabienne
Depute-e,FREYMOND Pascal,FREYMOND:Pascal
Depute-e,GEOFFROY Elias,GEOFFROY:Elias
Depute-e,GOMEZ Alfonso,GOMEZ:Alfonso
Depute-e,HAAS François,HAAS:François
Depute-e,HARTMANN Esther,HARTMANN:Esther
Depute-e,HEBERLEIN SIMONETT Claudia,HEBERLEIN:SIMONETT:Claudia
Depute-e,HERREN Yves,HERREN:Yves
Depute-e,KHAMIS VANNINI Uzma,KHAMIS:VANNINI:Uzma
Depute-e,KLOPFENSTEIN BROGGINI Delphine,KLOPFENSTEIN:BROGGINI:Delphine
Depute-e,KÜNDIG Ralph,KÜNDIG:Ralph
Depute-e,LATOUR Sabine,LATOUR:Sabine
Depute-e,EMERY-TORRACINTA Anne,EMERY-TORRACINTA:Anne
Depute-e,APOTHÉLOZ Thierry,APOTHÉLOZ:Thierry
Depute-e,SALERNO Sandrine,SALERNO:Sandrine
Depute-e,DE SAINTE-MARIE Romain,DE:SAINTE-MARIE:Romain
Depute-e,KAST Carole-Anne,KAST:Carole-Anne
Depute-e,WENGER Thomas,WENGER:Thomas
Depute-e,MARTI Caroline,MARTI:Caroline
Depute-e,BANDLER Marko,BANDLER:Marko
Depute-e,MOYARD MIZRAHI Salima,MOYARD:MIZRAHI:Salima
Depute-e,DANDRÈS Christian,DANDRÈS:Christian
Depute-e,VERISSIMO DE FREITAS Helena,VERISSIMO:DE:FREITAS:Helena
Depute-e,CARASSO Grégoire,CARASSO:Grégoire
Depute-e,SOBANEK Marion,SOBANEK:Marion
Depute-e,THÉVOZ Sylvain,THÉVOZ:Sylvain
Depute-e,CONTI Jennifer,CONTI:Jennifer
Depute-e,STAUB Martin,STAUB:Martin
Depute-e,VALIQUER GRECUCCIO Nicole,VALIQUER:GRECUCCIO:Nicole
Depute-e,RIELLE Jean Charles,RIELLE:Jean:Charles
Depute-e,GAVILANES Amanda,GAVILANES:Amanda
Depute-e,MIZRAHI Cyril,MIZRAHI:Cyril
Depute-e,CASARES Maria Jesus,CASARES:Maria:Jesus
Depute-e,POMATTO Michel,POMATTO:Michel
Depute-e,STRASSER Léna,STRASSER:Léna
Depute-e,KOKOT Guilhem,KOKOT:Guilhem
Depute-e,ROMANO Maria,ROMANO:Maria:Maria:Vittoria
Depute-e,MUSSA Ahmed,MUSSA:Ahmed:Youniss
Depute-e,OSMANI Xhevrie,OSMANI:Xhevrie
Depute-e,ESTEBAN Diego,ESTEBAN:Diego
Depute-e,BAILLON Glenna,BAILLON:Glenna
Depute-e,EYA NCHAMA Cruz Melchor,EYA:NCHAMA:Cruz:Melchor
Depute-e,BRANDRUP Gladys,BRANDRUP:Gladys:ACOSTA:BRANDRUP
Depute-e,CHIARADONNA Denis,CHIARADONNA:Denis
Depute-e,LÜTHI Badia,LÜTHI:Badia
Depute-e,CLEMENCE Nicolas,CLEMENCE:Nicolas
Depute-e,VATRE Patricia,VATRE:Patricia
Depute-e,ZIMMERMANN Michel,ZIMMERMANN:Michel
Depute-e,VIRET Dora,VIRET:Dora:Cécilia
Depute-e,VELASCO Alberto,VELASCO:Alberto
Depute-e,FABRE Michel,FABRE:Michel
Depute-e,DE BATTISTA Regis,DE:BATTISTA:Regis
Depute-e,DEONNA Emmanuel,DEONNA:Emmanuel
Depute-e,TOMBOLA Jean-Pierre,TOMBOLA:Jean-Pierre
Depute-e,KEEL Theo,KEEL:Theo
Depute-e,LAPALUD Patrick,LAPALUD:Patrick
Depute-e,BARRY Thierno,BARRY:Thierno
Depute-e,HALIMI Hysri,HALIMI:Hysri
Depute-e,GAJARDO MUNOZ Jorge,GAJARDO:MUNOZ:Jorge
Depute-e,ALONSO UNICA Manuel,ALONSO:UNICA:Manuel
Depute-e,BALDINI Frédéric,BALDINI:Frédéric
Depute-e,BRUCHEZ Thomas,BRUCHEZ:Thomas
Depute-e,BENDA Benjamin,BENDA:Benjamin
Depute-e,BURKHARD Roland,BURKHARD:Roland
